checking_status,duration,loan_history,purpose,loan_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_loans,job,num_dependents,own_telephone,foreign_worker,accepted,label,foreign_worker_binary,checking_status_ordinal,savings_status_ordinal,employment_ordinal,installment_commitment_ordinal
<0DM,6.0,Critical_acct_other_loans_existing,radio/television,1169.0,Unknown_or_no_savings_acct,>7yrs,4.0,male_single,None,4.0,real_estate,67.0,none,own,m22,skilled_employee/official,1.0,Yes,yes,2.0,0.0,1.0,0.0,-1.0,3.0,4.0
0_to_200DM,48.0,Existing_loans_paid_till_now,radio/television,5951.0,<100DM,1_to_4yrs,2.0,female_divorced/separated/married,None,2.0,real_estate,22.0,none,own,e1,skilled_employee/official,1.0,No,yes,1.0,1.0,1.0,1.0,0.0,1.0,2.0
None,12.0,Critical_acct_other_loans_existing,education,2096.0,<100DM,4_to_7yrs,2.0,male_single,None,3.0,real_estate,49.0,none,own,1,unskilled_resident,2.0,No,yes,2.0,0.0,1.0,-1.0,0.0,2.0,2.0
<0DM,42.0,Existing_loans_paid_till_now,furniture/equipment,7882.0,<100DM,4_to_7yrs,2.0,male_single,guarantor,4.0,building_society_savings_agreement/life_insurance,45.0,none,for_free,q1,skilled_employee/official,2.0,No,yes,2.0,0.0,1.0,0.0,0.0,2.0,2.0
<0DM,24.0,Delay_in_past,new_car,4870.0,<100DM,1_to_4yrs,3.0,male_single,None,4.0,unknown/no_property,53.0,none,for_free,p22,skilled_employee/official,2.0,No,yes,1.0,1.0,1.0,0.0,0.0,1.0,3.0
None,36.0,Existing_loans_paid_till_now,education,9055.0,Unknown_or_no_savings_acct,1_to_4yrs,2.0,male_single,None,4.0,unknown/no_property,35.0,none,for_free,1,unskilled_resident,2.0,Yes,yes,2.0,0.0,1.0,-1.0,-1.0,1.0,2.0
None,24.0,Existing_loans_paid_till_now,furniture/equipment,2835.0,500_to_1000DM,>7yrs,3.0,male_single,None,4.0,building_society_savings_agreement/life_insurance,53.0,none,own,e1,skilled_employee/official,1.0,No,yes,2.0,0.0,1.0,-1.0,2.0,3.0,3.0
0_to_200DM,36.0,Existing_loans_paid_till_now,used_car,6948.0,<100DM,1_to_4yrs,2.0,male_single,None,2.0,car_or_other_nonsavings,35.0,none,rent,i1,management_self-employed_highly_qualified/officer,1.0,Yes,yes,2.0,0.0,1.0,1.0,0.0,1.0,2.0
None,12.0,Existing_loans_paid_till_now,radio/television,3059.0,>1000DM,4_to_7yrs,2.0,male_divorced/separated,None,4.0,real_estate,61.0,none,own,1,unskilled_resident,1.0,No,yes,2.0,0.0,1.0,-1.0,3.0,2.0,2.0
0_to_200DM,30.0,Critical_acct_other_loans_existing,new_car,5234.0,<100DM,unemployed,4.0,male_married/widowed,None,2.0,car_or_other_nonsavings,28.0,none,own,jc22,management_self-employed_highly_qualified/officer,1.0,No,yes,1.0,1.0,1.0,1.0,0.0,-1.0,4.0
